mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2021-01,Buenos Aires,Buenos Aires,6920,22641,previaje 1
2021-01,Buenos Aires,Catamarca,24,56,previaje 1
2021-01,Buenos Aires,Chaco,15,27,previaje 1
2021-01,Buenos Aires,Chubut,446,1203,previaje 1
2021-01,Buenos Aires,Ciudad Autónoma de Buenos Aires,112,272,previaje 1
2021-01,Buenos Aires,Corrientes,45,126,previaje 1
2021-01,Buenos Aires,Córdoba,1604,5106,previaje 1
2021-01,Buenos Aires,Entre Ríos,333,1244,previaje 1
2021-01,Buenos Aires,Formosa,4,9,previaje 1
2021-01,Buenos Aires,Jujuy,191,451,previaje 1
2021-01,Buenos Aires,La Pampa,10,29,previaje 1
2021-01,Buenos Aires,La Rioja,27,61,previaje 1
2021-01,Buenos Aires,Mendoza,1316,3691,previaje 1
2021-01,Buenos Aires,Misiones,734,2073,previaje 1
2021-01,Buenos Aires,Neuquén,1502,5174,previaje 1
2021-01,Buenos Aires,Río Negro,4978,16039,previaje 1
2021-01,Buenos Aires,Salta,568,1465,previaje 1
2021-01,Buenos Aires,San Juan,32,83,previaje 1
2021-01,Buenos Aires,San Luis,457,1362,previaje 1
2021-01,Buenos Aires,Santa Cruz,1028,2858,previaje 1
2021-01,Buenos Aires,Santa Fe,34,77,previaje 1
2021-01,Buenos Aires,Santiago del Estero,67,226,previaje 1
2021-01,Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1166,3158,previaje 1
2021-01,Buenos Aires,Tucumán,95,242,previaje 1
2021-01,Catamarca,Buenos Aires,8,16,previaje 1
2021-01,Catamarca,Catamarca,3,9,previaje 1
2021-01,Catamarca,Chubut,2,5,previaje 1
2021-01,Catamarca,Ciudad Autónoma de Buenos Aires,8,12,previaje 1
2021-01,Catamarca,Córdoba,14,40,previaje 1
2021-01,Catamarca,Jujuy,2,6,previaje 1
2021-01,Catamarca,Mendoza,2,8,previaje 1
2021-01,Catamarca,Misiones,1,2,previaje 1
2021-01,Catamarca,Río Negro,7,19,previaje 1
2021-01,Catamarca,Salta,2,2,previaje 1
2021-01,Catamarca,San Juan,1,1,previaje 1
2021-01,Catamarca,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",5,10,previaje 1
2021-01,Chaco,Buenos Aires,29,74,previaje 1
2021-01,Chaco,Chaco,2,6,previaje 1
2021-01,Chaco,Chubut,1,4,previaje 1
2021-01,Chaco,Ciudad Autónoma de Buenos Aires,21,51,previaje 1
2021-01,Chaco,Corrientes,2,5,previaje 1
2021-01,Chaco,Córdoba,43,114,previaje 1
2021-01,Chaco,Entre Ríos,5,14,previaje 1
2021-01,Chaco,Jujuy,1,2,previaje 1
2021-01,Chaco,Mendoza,33,87,previaje 1
2021-01,Chaco,Misiones,22,78,previaje 1
2021-01,Chaco,Neuquén,14,49,previaje 1
2021-01,Chaco,Río Negro,125,384,previaje 1
2021-01,Chaco,Salta,16,58,previaje 1
2021-01,Chaco,Santa Cruz,33,87,previaje 1
2021-01,Chaco,Santiago del Estero,3,6,previaje 1
